Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,Mins_Per_90,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Url
2023,Almería,La Liga,Sergio Akieme,ESP,DF,24,1997,25.5,27,16,19,6,2,12,22,54.5,10,22,6,16,14,41,41,0,https://fbref.com/en/players/06efa9dc/Sergio-Akieme
2023,Almería,La Liga,Srđan Babić,SRB,DF,26,1996,33.3,28,18,20,8,0,15,32,46.9,17,34,22,12,29,57,124,1,https://fbref.com/en/players/075fe5a3/Srdjan-Babic
2023,Almería,La Liga,Léo Baptistão,BRA,"FW,MF",29,1992,19.2,32,20,13,16,3,13,33,39.4,20,17,2,15,19,51,12,0,https://fbref.com/en/players/35f6db55/Leo-Baptistao
2023,Almería,La Liga,El Bilal Touré,MLI,FW,20,2001,14,4,3,2,1,1,0,3,0,3,6,1,5,1,5,23,0,https://fbref.com/en/players/47c609d5/El-Bilal-Toure
2023,Almería,La Liga,José Carlos Lazo,ESP,"MF,FW",26,1996,0.2,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,https://fbref.com/en/players/5b93209a/Jose-Carlos-Lazo
2023,Almería,La Liga,Álex Centelles,ESP,DF,24,1997,12.5,22,14,16,3,3,16,22,72.7,6,13,2,11,11,33,40,0,https://fbref.com/en/players/ae852b7d/Alex-Centelles
2023,Almería,La Liga,Chumi,ESP,DF,23,1999,16.5,29,16,18,9,2,14,23,60.9,9,20,7,13,15,44,53,0,https://fbref.com/en/players/2475cf9b/Chumi
2023,Almería,La Liga,Samu Costa,POR,MF,21,2000,22.1,61,31,35,20,6,29,61,47.5,32,29,7,22,37,98,64,4,https://fbref.com/en/players/76c2a023/Samu-Costa
2023,Almería,La Liga,Curro,ESP,MF,26,1996,0.5,2,0,1,1,0,1,2,50,1,0,0,0,0,2,0,0,https://fbref.com/en/players/f9a225f5/Curro
2023,Almería,La Liga,Íñigo Eguaras,ESP,MF,30,1992,10.7,11,8,4,6,1,5,18,27.8,13,9,3,6,6,17,15,0,https://fbref.com/en/players/3e93f8cf/Inigo-Eguaras
2023,Almería,La Liga,Rodrigo Ely,BRA,DF,28,1993,35.1,30,21,26,4,0,18,25,72,7,46,33,13,31,61,203,1,https://fbref.com/en/players/fd47b4f2/Rodrigo-Ely
2023,Almería,La Liga,Adri Embarba,ESP,"FW,MF",30,1992,16.4,50,27,21,26,3,22,46,47.8,24,23,0,23,9,59,9,0,https://fbref.com/en/players/db8f0eba/Adri-Embarba
2023,Almería,La Liga,Fernando,ESP,GK,32,1990,36.5,0,0,0,0,0,0,2,0,2,2,0,2,1,1,20,3,https://fbref.com/en/players/dabb2827/Fernando
2023,Almería,La Liga,Luis Javier Suárez,COL,FW,24,1997,16.6,17,11,5,6,6,6,26,23.1,20,13,3,10,3,20,10,0,https://fbref.com/en/players/eeba07f8/Luis-Javier-Suarez
2023,Almería,La Liga,Kaiky,BRA,DF,18,2004,6.5,5,5,5,0,0,3,7,42.9,4,18,10,8,11,16,28,0,https://fbref.com/en/players/55634fb8/Kaiky
2023,Almería,La Liga,César de la Hoz,ESP,MF,30,1992,18.6,37,20,17,18,2,19,37,51.4,18,26,6,20,13,50,37,0,https://fbref.com/en/players/60abea75/Cesar-de-la-Hoz
2023,Almería,La Liga,Lázaro,BRA,"FW,MF",20,2002,8,4,3,3,0,1,3,15,20,12,16,1,15,2,6,1,0,https://fbref.com/en/players/86ff856b/Lazaro
2023,Almería,La Liga,Diego Mariño,ESP,GK,32,1990,0.5,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,https://fbref.com/en/players/d9235a45/Diego-Marino
2023,Almería,La Liga,Gonzalo Melero,ESP,MF,28,1994,20.6,32,16,9,18,5,11,39,28.2,28,23,2,21,7,39,19,1,https://fbref.com/en/players/3902e91b/Gonzalo-Melero
2023,Almería,La Liga,Houboulang Mendes,GNB,DF,24,1998,9.8,19,11,16,3,0,11,27,40.7,16,12,2,10,7,26,23,1,https://fbref.com/en/players/1545cf15/Houboulang-Mendes
2023,Almería,La Liga,Marko Milovanović,SRB,FW,18,2003,0.2,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,https://fbref.com/en/players/1fda2b14/Marko-Milovanovic
2023,Almería,La Liga,Fernando Pacheco,ESP,GK,30,1992,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,https://fbref.com/en/players/97852360/Fernando-Pacheco
2023,Almería,La Liga,Francisco Portillo,ESP,"MF,FW",32,1990,8,13,6,4,5,4,3,16,18.8,13,7,1,6,7,20,8,0,https://fbref.com/en/players/8e010ff4/Francisco-Portillo
2023,Almería,La Liga,Alejandro Pozo Pozo,ESP,DF,23,1999,20.9,37,19,17,17,3,27,53,50.9,26,30,5,25,26,63,45,1,https://fbref.com/en/players/3c16d927/Alejandro-Pozo-Pozo
2023,Almería,La Liga,Arnau Puigmal,ESP,"MF,FW",21,2001,8.5,22,14,10,7,5,12,17,70.6,5,7,0,7,11,33,6,0,https://fbref.com/en/players/39352da2/Arnau-Puigmal
2023,Almería,La Liga,Largie Ramazani,BEL,"FW,MF",21,2001,15.6,15,9,6,3,6,8,27,29.6,19,11,0,11,15,30,10,0,https://fbref.com/en/players/cc9256ef/Largie-Ramazani
2023,Almería,La Liga,Lucas Robertone,ARG,MF,25,1997,31.6,50,28,20,21,9,28,64,43.8,36,45,7,38,46,96,46,1,https://fbref.com/en/players/a8981944/Lucas-Robertone
2023,Almería,La Liga,Umar Sadiq,NGA,FW,25,1997,2.7,0,0,0,0,0,0,1,0,1,2,0,2,0,0,3,0,https://fbref.com/en/players/686cbe7d/Umar-Sadiq
2023,Almería,La Liga,Dyego Sousa,POR,FW,32,1989,5.9,10,6,5,4,1,4,5,80,1,4,2,2,1,11,14,0,https://fbref.com/en/players/e4738e91/Dyego-Sousa
2023,Athletic Club,La Liga,Julen Agirrezabala,ESP,GK,21,2000,7.5,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,2,0,https://fbref.com/en/players/a2c1a8d3/Julen-Agirrezabala
2023,Athletic Club,La Liga,Yeray Álvarez,ESP,DF,27,1995,25.9,34,23,26,7,1,24,31,77.4,7,23,13,10,48,82,101,0,https://fbref.com/en/players/3ecc11d8/Yeray-Alvarez
2023,Athletic Club,La Liga,Adu Ares,ESP,"FW,MF",20,2001,0.9,4,2,2,1,1,4,4,100,0,1,0,1,2,6,1,0,https://fbref.com/en/players/a461f098/Adu-Ares
2023,Athletic Club,La Liga,Mikel Balenziaga,ESP,DF,34,1988,1.3,4,4,1,2,1,4,4,100,0,0,0,0,1,5,2,0,https://fbref.com/en/players/1fe67e86/Mikel-Balenziaga
2023,Athletic Club,La Liga,Yuri Berchiche,ESP,DF,32,1990,26.7,56,32,28,20,8,35,59,59.3,24,37,12,25,40,96,59,1,https://fbref.com/en/players/b6e50615/Yuri-Berchiche
2023,Athletic Club,La Liga,Álex Berenguer,ESP,FW,27,1995,25.5,58,37,17,25,16,23,60,38.3,37,37,4,33,10,68,6,0,https://fbref.com/en/players/dc1c2fce/Alex-Berenguer
2023,Athletic Club,La Liga,Ander Capa,ESP,DF,30,1992,1.2,1,1,1,0,0,1,5,20,4,5,0,5,0,1,2,0,https://fbref.com/en/players/37f1cf47/Ander-Capa
2023,Athletic Club,La Liga,Dani García,ESP,MF,32,1990,16.5,46,27,17,25,4,29,47,61.7,18,21,6,15,19,65,21,1,https://fbref.com/en/players/240d3a0b/Dani-Garcia
2023,Athletic Club,La Liga,Raúl García,ESP,"FW,MF",36,1986,10.7,12,8,3,4,5,5,15,33.3,10,13,1,12,6,18,9,0,https://fbref.com/en/players/b418dbd4/Raul-Garcia
2023,Athletic Club,La Liga,Gorka Guruzeta,ESP,FW,25,1996,15.8,24,20,6,12,6,11,24,45.8,13,23,2,21,4,28,8,0,https://fbref.com/en/players/6b5ea2f4/Gorka-Guruzeta
2023,Athletic Club,La Liga,Ander Herrera,ESP,MF,32,1989,7.7,18,10,8,7,3,6,18,33.3,12,12,3,9,11,29,12,0,https://fbref.com/en/players/436a9dd0/Ander-Herrera
2023,Athletic Club,La Liga,Iñigo Lekue,ESP,DF,29,1993,14.7,24,17,20,4,0,12,19,63.2,7,16,2,14,13,37,31,1,https://fbref.com/en/players/59b7d823/Inigo-Lekue
2023,Athletic Club,La Liga,Óscar de Marcos,ESP,DF,33,1989,31.3,67,33,34,22,11,40,76,52.6,36,42,6,36,29,96,59,0,https://fbref.com/en/players/9f323c71/Oscar-de-Marcos
2023,Athletic Club,La Liga,Iñigo Martínez,ESP,DF,31,1991,14.9,18,8,11,7,0,6,9,66.7,3,17,11,6,18,36,55,0,https://fbref.com/en/players/3fc45c73/Inigo-Martinez
2023,Athletic Club,La Liga,Jon Morcillo,ESP,"FW,MF",23,1998,0.8,1,0,1,0,0,0,1,0,1,0,0,0,1,2,0,0,https://fbref.com/en/players/b7d7f3bf/Jon-Morcillo
2023,Athletic Club,La Liga,Iker Muniain,ESP,"MF,FW",29,1992,18.8,21,16,7,11,3,6,17,35.3,11,10,1,9,4,25,2,0,https://fbref.com/en/players/c05dfb74/Iker-Muniain
2023,Athletic Club,La Liga,Aitor Paredes,ESP,DF,22,2000,9.5,7,6,4,2,1,6,11,54.5,5,11,7,4,14,21,26,0,https://fbref.com/en/players/b906757a/Aitor-Paredes
2023,Athletic Club,La Liga,Oihan Sancet,ESP,MF,22,2000,28.1,27,16,2,19,6,11,37,29.7,26,10,0,10,4,31,9,1,https://fbref.com/en/players/bdb624a3/Oihan-Sancet
2023,Athletic Club,La Liga,Unai Simón,ESP,GK,25,1997,30.5,2,0,2,0,0,1,1,100,0,1,0,1,0,2,9,3,https://fbref.com/en/players/5dcf3e90/Unai-Simon
2023,Athletic Club,La Liga,Unai Vencedor Paris,ESP,MF,21,2000,2.1,3,1,0,3,0,1,6,16.7,5,5,0,5,1,4,1,0,https://fbref.com/en/players/4112ace5/Unai-Vencedor-Paris
2023,Athletic Club,La Liga,Mikel Vesga,ESP,MF,29,1993,28.6,57,35,21,31,5,25,68,36.8,43,39,8,31,36,93,39,3,https://fbref.com/en/players/b0fce72c/Mikel-Vesga
2023,Athletic Club,La Liga,Asier Villalibre,ESP,FW,24,1997,1.1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,1,0,https://fbref.com/en/players/57be54ec/Asier-Villalibre
2023,Athletic Club,La Liga,Daniel Vivian,ESP,DF,23,1999,26.4,57,32,36,16,5,36,45,80,9,27,14,13,24,81,90,3,https://fbref.com/en/players/ab7bf91d/Daniel-Vivian
2023,Athletic Club,La Liga,Iñaki Williams,GHA,FW,28,1994,31.5,22,16,5,14,3,9,24,37.5,15,18,3,15,7,29,34,0,https://fbref.com/en/players/6a99e0b1/Inaki-Williams
2023,Athletic Club,La Liga,Nico Williams,ESP,FW,20,2002,29.5,31,16,10,15,6,19,41,46.3,22,40,2,38,8,39,14,1,https://fbref.com/en/players/afdc14d7/Nico-Williams
2023,Athletic Club,La Liga,Oier Zarraga,ESP,MF,23,1999,9.5,14,9,5,7,2,8,20,40,12,7,0,7,10,24,5,0,https://fbref.com/en/players/968a1c2f/Oier-Zarraga
2023,Atlético Madrid,La Liga,Pablo Barrios,ESP,MF,19,2003,8,19,10,3,10,6,8,15,53.3,7,12,2,10,9,28,6,1,https://fbref.com/en/players/45736cec/Pablo-Barrios
2023,Atlético Madrid,La Liga,Yannick Carrasco,BEL,"DF,MF",28,1993,25.7,35,14,21,10,4,23,54,42.6,31,23,1,22,12,47,19,0,https://fbref.com/en/players/de39485a/Yannick-Carrasco
2023,Atlético Madrid,La Liga,Ángel Correa,ARG,"FW,MF",27,1995,16.2,12,6,6,3,3,5,16,31.3,11,17,0,17,10,22,6,1,https://fbref.com/en/players/01eb744d/Angel-Correa
2023,Atlético Madrid,La Liga,Matheus Cunha,BRA,"FW,MF",23,1999,4.2,4,1,1,3,0,0,3,0,3,4,1,3,2,6,3,0,https://fbref.com/en/players/dc62b55d/Matheus-Cunha
2023,Atlético Madrid,La Liga,Rodrigo De Paul,ARG,MF,28,1994,21.4,35,21,11,18,6,18,35,51.4,17,20,3,17,8,43,7,0,https://fbref.com/en/players/162efffd/Rodrigo-De-Paul
2023,Atlético Madrid,La Liga,Matt Doherty,IRL,DF,30,1992,0.2,0,0,0,0,0,0,0,NA,0,2,0,2,0,0,0,0,https://fbref.com/en/players/d557d734/Matt-Doherty
2023,Atlético Madrid,La Liga,Felipe,BRA,DF,33,1989,2.2,3,2,1,2,0,2,4,50,2,2,2,0,0,3,7,0,https://fbref.com/en/players/51a3c4c8/Felipe
2023,Atlético Madrid,La Liga,João Félix,POR,"FW,MF",22,1999,7.2,10,7,2,3,5,1,6,16.7,5,1,0,1,3,13,2,0,https://fbref.com/en/players/8aafd64f/Joao-Felix
2023,Atlético Madrid,La Liga,Antonio Gomis,ESP,GK,19,2003,0.1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,https://fbref.com/en/players/f0f4671c/Antonio-Gomis
2023,Atlético Madrid,La Liga,Ivo Grbić,CRO,GK,26,1996,10.2,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,9,1,https://fbref.com/en/players/3f034750/Ivo-Grbic
2023,Atlético Madrid,La Liga,Antoine Griezmann,FRA,"FW,MF",31,1991,31.8,49,34,15,23,11,20,66,30.3,46,34,3,31,24,73,31,0,https://fbref.com/en/players/df69b544/Antoine-Griezmann
2023,Atlético Madrid,La Liga,Mario Hermoso,ESP,DF,27,1995,23.4,22,15,14,6,2,9,30,30,21,19,9,10,19,41,85,1,https://fbref.com/en/players/555f3a0b/Mario-Hermoso
2023,Atlético Madrid,La Liga,Koke,ESP,MF,30,1992,28.3,55,38,23,25,7,28,72,38.9,44,35,13,22,20,75,19,0,https://fbref.com/en/players/55126f3b/Koke
2023,Atlético Madrid,La Liga,Geoffrey Kondogbia,CTA,MF,29,1993,11.2,40,23,19,20,1,17,25,68,8,9,1,8,26,66,12,1,https://fbref.com/en/players/cce181df/Geoffrey-Kondogbia
2023,Atlético Madrid,La Liga,Thomas Lemar,FRA,MF,26,1995,13.9,30,18,10,13,7,10,28,35.7,18,12,3,9,7,37,12,0,https://fbref.com/en/players/4dbd0916/Thomas-Lemar
2023,Atlético Madrid,La Liga,Marcos Llorente,ESP,"MF,DF",27,1995,18.9,32,15,16,10,6,17,30,56.7,13,26,2,24,17,49,19,0,https://fbref.com/en/players/02c15616/Marcos-Llorente
2023,Atlético Madrid,La Liga,Reinildo Mandava,MOZ,DF,28,1994,20.6,66,43,46,19,1,38,49,77.6,11,27,12,15,30,96,59,0,https://fbref.com/en/players/c20bdcd7/Reinildo-Mandava
2023,Atlético Madrid,La Liga,José María Giménez,URU,DF,27,1995,26.9,43,25,28,14,1,24,35,68.6,11,37,17,20,24,67,138,1,https://fbref.com/en/players/f0da930c/Jose-Maria-Gimenez
2023,Atlético Madrid,La Liga,Carlos Martín,ESP,"FW,MF",20,2002,0.3,2,2,0,2,0,2,3,66.7,1,0,0,0,1,3,0,0,https://fbref.com/en/players/64035864/Carlos-Martin
2023,Atlético Madrid,La Liga,Memphis,NED,FW,28,1994,3,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,https://fbref.com/en/players/8f696594/Memphis
2023,Atlético Madrid,La Liga,Nahuel Molina,ARG,DF,24,1998,31.9,69,43,38,18,13,39,91,42.9,52,38,7,31,18,87,63,1,https://fbref.com/en/players/23610943/Nahuel-Molina
2023,Atlético Madrid,La Liga,Álvaro Morata,ESP,FW,29,1992,21.1,16,11,4,8,4,3,8,37.5,5,11,3,8,0,16,23,0,https://fbref.com/en/players/129af0db/Alvaro-Morata
2023,Atlético Madrid,La Liga,Saúl Ñíguez,ESP,"MF,DF",27,1994,12.2,42,27,18,18,6,22,37,59.5,15,27,5,22,15,57,29,0,https://fbref.com/en/players/c14bc029/Saul-Niguez
2023,Atlético Madrid,La Liga,Jan Oblak,SVN,GK,29,1993,27.7,0,0,0,0,0,0,0,NA,0,0,0,0,1,1,8,0,https://fbref.com/en/players/ee8508c0/Jan-Oblak
2023,Atlético Madrid,La Liga,Sergio Reguilón,ESP,DF,25,1996,3.4,7,5,5,2,0,5,7,71.4,2,3,0,3,2,9,4,0,https://fbref.com/en/players/3353737a/Sergio-Reguilon
2023,Atlético Madrid,La Liga,Stefan Savić,MNE,DF,31,1991,21.6,39,26,29,7,3,26,39,66.7,13,17,8,9,33,72,67,2,https://fbref.com/en/players/f6ac68c1/Stefan-Savic
2023,Atlético Madrid,La Liga,Axel Witsel,BEL,"DF,MF",33,1989,25.1,36,22,22,11,3,17,31,54.8,14,20,11,9,23,59,76,0,https://fbref.com/en/players/5dfc6ad5/Axel-Witsel
2023,Barcelona,La Liga,Ángel Alarcón,ESP,"FW,MF",18,2004,0.3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,https://fbref.com/en/players/455c26a4/Angel-Alarcon
2023,Barcelona,La Liga,Jordi Alba,ESP,DF,33,1989,15.8,25,18,13,11,1,12,28,42.9,16,12,5,7,11,36,23,0,https://fbref.com/en/players/4601e194/Jordi-Alba
2023,Barcelona,La Liga,Marcos Alonso,ESP,DF,31,1990,13,15,10,10,5,0,9,12,75,3,14,10,4,11,26,32,0,https://fbref.com/en/players/f4290206/Marcos-Alonso
2023,Barcelona,La Liga,Ronald Araújo,URU,DF,23,1999,20,26,18,12,13,1,6,9,66.7,3,15,7,8,12,38,41,1,https://fbref.com/en/players/2bef2bca/Ronald-Araujo
2023,Barcelona,La Liga,Pierre-Emerick Aubameyang,GAB,FW,33,1989,0.1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,https://fbref.com/en/players/d5dd5f1f/Pierre-Emerick-Aubameyang
2023,Barcelona,La Liga,Alejandro Balde,ESP,DF,18,2003,27.5,42,30,22,16,4,24,41,58.5,17,25,3,22,12,54,17,1,https://fbref.com/en/players/5ccc9672/Alejandro-Balde
2023,Barcelona,La Liga,Héctor Bellerín,ESP,DF,27,1995,1.6,2,0,0,2,0,2,3,66.7,1,2,0,2,3,5,2,0,https://fbref.com/en/players/f874dd44/Hector-Bellerin
2023,Barcelona,La Liga,Sergio Busquets,ESP,MF,34,1988,26,58,26,24,26,8,29,51,56.9,22,32,6,26,27,85,36,2,https://fbref.com/en/players/5ab0ea87/Sergio-Busquets
2023,Barcelona,La Liga,Andreas Christensen,DEN,DF,26,1996,19.6,20,15,9,11,0,10,16,62.5,6,14,12,2,21,41,47,0,https://fbref.com/en/players/1cb49278/Andreas-Christensen
