Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,Mins_Per_90,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Sw_Pass,Crs_Pass,TI_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,Url
2023,Almería,La Liga,Sergio Akieme,ESP,DF,24,1997,25.5,1061,824,230,25,3,13,70,205,0,0,0,0,821,7,20,https://fbref.com/en/players/06efa9dc/Sergio-Akieme
2023,Almería,La Liga,Srđan Babić,SRB,DF,26,1996,33.3,1373,1295,71,65,1,12,2,5,0,0,0,0,1172,7,9,https://fbref.com/en/players/075fe5a3/Srdjan-Babic
2023,Almería,La Liga,Léo Baptistão,BRA,"FW,MF",29,1992,19.2,540,526,11,2,6,7,18,8,0,0,0,0,359,3,25,https://fbref.com/en/players/35f6db55/Leo-Baptistao
2023,Almería,La Liga,El Bilal Touré,MLI,FW,20,2001,14,258,231,25,0,0,0,4,0,0,0,0,0,183,2,8,https://fbref.com/en/players/47c609d5/El-Bilal-Toure
2023,Almería,La Liga,José Carlos Lazo,ESP,"MF,FW",26,1996,0.2,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,https://fbref.com/en/players/5b93209a/Jose-Carlos-Lazo
2023,Almería,La Liga,Álex Centelles,ESP,DF,24,1997,12.5,577,446,130,24,0,4,46,106,0,0,0,0,412,1,20,https://fbref.com/en/players/ae852b7d/Alex-Centelles
2023,Almería,La Liga,Chumi,ESP,DF,23,1999,16.5,806,697,107,28,0,3,8,75,0,0,0,0,664,2,14,https://fbref.com/en/players/2475cf9b/Chumi
2023,Almería,La Liga,Samu Costa,POR,MF,21,2000,22.1,1097,1048,41,37,4,12,8,4,0,0,0,0,864,8,28,https://fbref.com/en/players/76c2a023/Samu-Costa
2023,Almería,La Liga,Curro,ESP,MF,26,1996,0.5,28,24,3,1,0,0,1,0,2,0,1,0,21,1,1,https://fbref.com/en/players/f9a225f5/Curro
2023,Almería,La Liga,Íñigo Eguaras,ESP,MF,30,1992,10.7,543,524,15,11,5,5,3,1,2,0,0,0,458,4,7,https://fbref.com/en/players/3e93f8cf/Inigo-Eguaras
2023,Almería,La Liga,Rodrigo Ely,BRA,DF,28,1993,35.1,1475,1393,78,75,2,16,3,2,0,0,0,0,1197,4,6,https://fbref.com/en/players/fd47b4f2/Rodrigo-Ely
2023,Almería,La Liga,Adri Embarba,ESP,"FW,MF",30,1992,16.4,557,474,80,15,0,7,127,7,58,29,17,1,356,3,24,https://fbref.com/en/players/db8f0eba/Adri-Embarba
2023,Almería,La Liga,Fernando,ESP,GK,32,1990,36.5,1313,836,472,131,0,2,0,0,0,0,0,0,919,5,1,https://fbref.com/en/players/dabb2827/Fernando
2023,Almería,La Liga,Luis Javier Suárez,COL,FW,24,1997,16.6,386,343,42,1,2,5,11,4,1,0,1,0,266,1,7,https://fbref.com/en/players/eeba07f8/Luis-Javier-Suarez
2023,Almería,La Liga,Kaiky,BRA,DF,18,2004,6.5,224,208,16,15,0,9,1,1,0,0,0,0,182,0,2,https://fbref.com/en/players/55634fb8/Kaiky
2023,Almería,La Liga,César de la Hoz,ESP,MF,30,1992,18.6,556,538,13,13,1,6,3,0,0,0,0,0,435,5,7,https://fbref.com/en/players/60abea75/Cesar-de-la-Hoz
2023,Almería,La Liga,Lázaro,BRA,"FW,MF",20,2002,8,218,204,14,1,0,5,9,1,3,2,0,0,170,0,5,https://fbref.com/en/players/86ff856b/Lazaro
2023,Almería,La Liga,Diego Mariño,ESP,GK,32,1990,0.5,8,2,6,1,0,0,0,0,0,0,0,0,7,0,0,https://fbref.com/en/players/d9235a45/Diego-Marino
2023,Almería,La Liga,Gonzalo Melero,ESP,MF,28,1994,20.6,755,736,17,9,1,4,2,3,0,0,0,0,652,2,15,https://fbref.com/en/players/3902e91b/Gonzalo-Melero
2023,Almería,La Liga,Houboulang Mendes,GNB,DF,24,1998,9.8,335,238,96,4,0,0,31,92,0,0,0,0,239,1,9,https://fbref.com/en/players/1545cf15/Houboulang-Mendes
2023,Almería,La Liga,Marko Milovanović,SRB,FW,18,2003,0.2,9,8,1,0,0,0,0,0,0,0,0,0,4,0,1,https://fbref.com/en/players/1fda2b14/Marko-Milovanovic
2023,Almería,La Liga,Fernando Pacheco,ESP,GK,30,1992,1,31,22,8,4,0,0,0,0,0,0,0,0,20,1,0,https://fbref.com/en/players/97852360/Fernando-Pacheco
2023,Almería,La Liga,Francisco Portillo,ESP,"MF,FW",32,1990,8,459,436,20,5,6,1,12,8,7,1,3,0,365,3,13,https://fbref.com/en/players/8e010ff4/Francisco-Portillo
2023,Almería,La Liga,Alejandro Pozo Pozo,ESP,DF,23,1999,20.9,1117,912,197,13,0,5,70,184,0,0,0,0,814,8,32,https://fbref.com/en/players/3c16d927/Alejandro-Pozo-Pozo
2023,Almería,La Liga,Arnau Puigmal,ESP,"MF,FW",21,2001,8.5,274,237,35,3,4,0,18,23,9,0,3,0,193,2,9,https://fbref.com/en/players/39352da2/Arnau-Puigmal
2023,Almería,La Liga,Largie Ramazani,BEL,"FW,MF",21,2001,15.6,291,266,20,1,3,1,20,7,1,1,0,0,195,5,18,https://fbref.com/en/players/cc9256ef/Largie-Ramazani
2023,Almería,La Liga,Lucas Robertone,ARG,MF,25,1997,31.6,1364,1211,147,68,10,15,137,12,64,25,34,0,1051,6,18,https://fbref.com/en/players/a8981944/Lucas-Robertone
2023,Almería,La Liga,Umar Sadiq,NGA,FW,25,1997,2.7,36,32,3,0,0,0,0,1,0,0,0,0,22,1,2,https://fbref.com/en/players/686cbe7d/Umar-Sadiq
2023,Almería,La Liga,Dyego Sousa,POR,FW,32,1989,5.9,160,150,9,0,1,0,1,1,0,0,0,0,107,1,7,https://fbref.com/en/players/e4738e91/Dyego-Sousa
2023,Athletic Club,La Liga,Julen Agirrezabala,ESP,GK,21,2000,7.5,241,169,72,10,0,0,0,0,0,0,0,0,171,0,0,https://fbref.com/en/players/a2c1a8d3/Julen-Agirrezabala
2023,Athletic Club,La Liga,Yeray Álvarez,ESP,DF,27,1995,25.9,1392,1308,80,72,5,35,9,2,0,0,0,0,1123,4,12,https://fbref.com/en/players/3ecc11d8/Yeray-Alvarez
2023,Athletic Club,La Liga,Adu Ares,ESP,"FW,MF",20,2001,0.9,51,49,2,0,0,1,8,1,1,0,0,0,42,0,1,https://fbref.com/en/players/a461f098/Adu-Ares
2023,Athletic Club,La Liga,Mikel Balenziaga,ESP,DF,34,1988,1.3,69,57,11,0,0,0,3,11,0,0,0,0,49,1,0,https://fbref.com/en/players/1fe67e86/Mikel-Balenziaga
2023,Athletic Club,La Liga,Yuri Berchiche,ESP,DF,32,1990,26.7,1580,1263,311,44,2,22,66,267,0,0,0,0,1304,6,34,https://fbref.com/en/players/b6e50615/Yuri-Berchiche
2023,Athletic Club,La Liga,Álex Berenguer,ESP,FW,27,1995,25.5,955,792,151,35,0,2,162,15,100,36,32,1,630,12,31,https://fbref.com/en/players/dc1c2fce/Alex-Berenguer
2023,Athletic Club,La Liga,Ander Capa,ESP,DF,30,1992,1.2,91,67,22,1,0,1,4,21,0,0,0,0,74,2,0,https://fbref.com/en/players/37f1cf47/Ander-Capa
2023,Athletic Club,La Liga,Dani García,ESP,MF,32,1990,16.5,720,688,29,28,3,7,5,0,0,0,0,0,571,3,8,https://fbref.com/en/players/240d3a0b/Dani-Garcia
2023,Athletic Club,La Liga,Raúl García,ESP,"FW,MF",36,1986,10.7,318,306,10,2,1,3,13,4,0,0,0,0,199,2,9,https://fbref.com/en/players/b418dbd4/Raul-Garcia
2023,Athletic Club,La Liga,Gorka Guruzeta,ESP,FW,25,1996,15.8,394,370,21,0,0,9,4,4,0,0,0,0,286,3,19,https://fbref.com/en/players/6b5ea2f4/Gorka-Guruzeta
2023,Athletic Club,La Liga,Ander Herrera,ESP,MF,32,1989,7.7,455,444,9,8,6,0,7,0,1,0,0,0,376,2,4,https://fbref.com/en/players/436a9dd0/Ander-Herrera
2023,Athletic Club,La Liga,Iñigo Lekue,ESP,DF,29,1993,14.7,807,668,137,16,0,4,43,119,2,0,1,0,624,2,18,https://fbref.com/en/players/59b7d823/Inigo-Lekue
2023,Athletic Club,La Liga,Óscar de Marcos,ESP,DF,33,1989,31.3,1932,1552,372,32,0,11,130,340,0,0,0,0,1499,8,52,https://fbref.com/en/players/9f323c71/Oscar-de-Marcos
2023,Athletic Club,La Liga,Iñigo Martínez,ESP,DF,31,1991,14.9,773,725,46,35,0,26,5,2,0,0,0,0,627,2,7,https://fbref.com/en/players/3fc45c73/Inigo-Martinez
2023,Athletic Club,La Liga,Jon Morcillo,ESP,"FW,MF",23,1998,0.8,44,43,0,0,0,0,6,0,0,0,0,0,32,1,0,https://fbref.com/en/players/b7d7f3bf/Jon-Morcillo
2023,Athletic Club,La Liga,Iker Muniain,ESP,"MF,FW",29,1992,18.8,1110,944,160,58,6,3,113,9,82,13,54,0,890,6,13,https://fbref.com/en/players/c05dfb74/Iker-Muniain
2023,Athletic Club,La Liga,Aitor Paredes,ESP,DF,22,2000,9.5,521,493,25,12,1,3,2,12,0,0,0,0,464,3,2,https://fbref.com/en/players/b906757a/Aitor-Paredes
2023,Athletic Club,La Liga,Oihan Sancet,ESP,MF,22,2000,28.1,975,936,28,13,9,3,17,1,3,0,2,0,788,11,19,https://fbref.com/en/players/bdb624a3/Oihan-Sancet
2023,Athletic Club,La Liga,Unai Simón,ESP,GK,25,1997,30.5,951,703,245,59,0,1,0,0,0,0,0,0,690,3,0,https://fbref.com/en/players/5dcf3e90/Unai-Simon
2023,Athletic Club,La Liga,Unai Vencedor Paris,ESP,MF,21,2000,2.1,124,120,3,3,0,2,2,0,0,0,0,0,107,1,2,https://fbref.com/en/players/4112ace5/Unai-Vencedor-Paris
2023,Athletic Club,La Liga,Mikel Vesga,ESP,MF,29,1993,28.6,1510,1489,13,11,2,19,12,1,0,0,0,0,1259,8,16,https://fbref.com/en/players/b0fce72c/Mikel-Vesga
2023,Athletic Club,La Liga,Asier Villalibre,ESP,FW,24,1997,1.1,18,18,0,0,0,0,0,0,0,0,0,0,11,0,0,https://fbref.com/en/players/57be54ec/Asier-Villalibre
2023,Athletic Club,La Liga,Daniel Vivian,ESP,DF,23,1999,26.4,1442,1381,56,49,1,27,6,6,0,0,0,0,1165,5,15,https://fbref.com/en/players/ab7bf91d/Daniel-Vivian
2023,Athletic Club,La Liga,Iñaki Williams,GHA,FW,28,1994,31.5,827,773,50,1,3,6,98,15,0,0,0,0,531,4,49,https://fbref.com/en/players/6a99e0b1/Inaki-Williams
2023,Athletic Club,La Liga,Nico Williams,ESP,FW,20,2002,29.5,951,872,75,5,4,5,174,4,66,17,32,0,634,4,64,https://fbref.com/en/players/afdc14d7/Nico-Williams
2023,Athletic Club,La Liga,Oier Zarraga,ESP,MF,23,1999,9.5,379,364,12,8,1,1,29,1,2,0,2,0,294,3,11,https://fbref.com/en/players/968a1c2f/Oier-Zarraga
2023,Atlético Madrid,La Liga,Pablo Barrios,ESP,MF,19,2003,8,450,438,9,7,1,5,6,2,0,0,0,0,368,3,12,https://fbref.com/en/players/45736cec/Pablo-Barrios
2023,Atlético Madrid,La Liga,Yannick Carrasco,BEL,"DF,MF",28,1993,25.7,1091,929,156,27,4,7,107,66,63,37,9,0,863,6,31,https://fbref.com/en/players/de39485a/Yannick-Carrasco
2023,Atlético Madrid,La Liga,Ángel Correa,ARG,"FW,MF",27,1995,16.2,520,493,23,2,2,5,22,2,9,1,5,0,406,4,16,https://fbref.com/en/players/01eb744d/Angel-Correa
2023,Atlético Madrid,La Liga,Matheus Cunha,BRA,"FW,MF",23,1999,4.2,85,77,6,0,1,1,3,1,0,0,0,0,64,2,3,https://fbref.com/en/players/dc62b55d/Matheus-Cunha
2023,Atlético Madrid,La Liga,Rodrigo De Paul,ARG,MF,28,1994,21.4,1421,1335,74,47,17,32,47,15,8,2,4,0,1160,12,27,https://fbref.com/en/players/162efffd/Rodrigo-De-Paul
2023,Atlético Madrid,La Liga,Matt Doherty,IRL,DF,30,1992,0.2,9,7,2,1,0,0,0,1,0,0,0,0,6,0,0,https://fbref.com/en/players/d557d734/Matt-Doherty
2023,Atlético Madrid,La Liga,Felipe,BRA,DF,33,1989,2.2,132,128,3,2,0,0,0,1,0,0,0,0,121,1,1,https://fbref.com/en/players/51a3c4c8/Felipe
2023,Atlético Madrid,La Liga,João Félix,POR,"FW,MF",22,1999,7.2,228,209,18,6,7,2,8,3,4,3,0,0,171,1,5,https://fbref.com/en/players/8aafd64f/Joao-Felix
