Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,Mins_Per_90,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take,Succ_Take,Succ_percent_Take,Tkld_Take,Tkld_percent_Take,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving,Url
2023,Almería,La Liga,Sergio Akieme,ESP,DF,24,1997,25.5,1283,78,434,563,307,35,1283,51,27,52.9,18,35.3,660,4200,2232,60,34,11,29,25,710,84,https://fbref.com/en/players/06efa9dc/Sergio-Akieme
2023,Almería,La Liga,Srđan Babić,SRB,DF,26,1996,33.3,1640,237,976,633,43,16,1640,8,4,50,4,50,891,4831,2792,21,13,1,10,3,1013,5,https://fbref.com/en/players/075fe5a3/Srdjan-Babic
2023,Almería,La Liga,Léo Baptistão,BRA,"FW,MF",29,1992,19.2,789,16,158,391,262,61,789,36,14,38.9,16,44.4,465,2611,1484,38,31,9,56,17,525,83,https://fbref.com/en/players/35f6db55/Leo-Baptistao
2023,Almería,La Liga,El Bilal Touré,MLI,FW,20,2001,14,407,26,46,196,172,53,407,17,6,35.3,9,52.9,201,1136,519,18,16,9,44,9,261,51,https://fbref.com/en/players/47c609d5/El-Bilal-Toure
2023,Almería,La Liga,José Carlos Lazo,ESP,"MF,FW",26,1996,0.2,8,0,1,2,5,1,8,1,1,100,0,0,7,44,9,0,0,0,2,0,7,3,https://fbref.com/en/players/5b93209a/Jose-Carlos-Lazo
2023,Almería,La Liga,Álex Centelles,ESP,DF,24,1997,12.5,686,55,269,244,180,7,686,14,6,42.9,7,50,341,1561,854,17,11,1,11,6,368,48,https://fbref.com/en/players/ae852b7d/Alex-Centelles
2023,Almería,La Liga,Chumi,ESP,DF,23,1999,16.5,970,105,519,363,93,8,970,16,7,43.8,9,56.3,532,2429,1057,13,6,1,11,8,577,10,https://fbref.com/en/players/2475cf9b/Chumi
2023,Almería,La Liga,Samu Costa,POR,MF,21,2000,22.1,1395,96,478,774,153,16,1395,22,9,40.9,12,54.5,717,2783,1113,9,8,1,31,13,856,24,https://fbref.com/en/players/76c2a023/Samu-Costa
2023,Almería,La Liga,Curro,ESP,MF,26,1996,0.5,34,0,3,18,13,1,34,0,0,NA,0,NA,15,63,36,1,3,0,1,0,22,1,https://fbref.com/en/players/f9a225f5/Curro
2023,Almería,La Liga,Íñigo Eguaras,ESP,MF,30,1992,10.7,614,26,174,369,75,3,614,5,4,80,1,20,354,1476,706,8,8,0,7,4,433,7,https://fbref.com/en/players/3e93f8cf/Inigo-Eguaras
2023,Almería,La Liga,Rodrigo Ely,BRA,DF,28,1993,35.1,1857,376,1164,646,54,30,1857,7,5,71.4,1,14.3,964,3809,1958,6,8,1,16,2,1084,4,https://fbref.com/en/players/fd47b4f2/Rodrigo-Ely
2023,Almería,La Liga,Adri Embarba,ESP,"FW,MF",30,1992,16.4,865,14,125,324,435,42,864,116,47,40.5,56,48.3,508,3885,1831,62,47,14,49,31,517,115,https://fbref.com/en/players/db8f0eba/Adri-Embarba
2023,Almería,La Liga,Fernando,ESP,GK,32,1990,36.5,1409,1270,1403,6,0,0,1409,1,1,100,0,0,703,3796,2345,0,0,0,0,0,536,0,https://fbref.com/en/players/dabb2827/Fernando
2023,Almería,La Liga,Luis Javier Suárez,COL,FW,24,1997,16.6,578,14,55,308,225,60,578,44,19,43.2,21,47.7,331,1832,809,29,20,15,42,25,416,87,https://fbref.com/en/players/eeba07f8/Luis-Javier-Suarez
2023,Almería,La Liga,Kaiky,BRA,DF,18,2004,6.5,294,61,184,108,3,1,294,3,2,66.7,1,33.3,167,886,513,7,2,0,5,0,180,2,https://fbref.com/en/players/55634fb8/Kaiky
2023,Almería,La Liga,César de la Hoz,ESP,MF,30,1992,18.6,723,54,247,427,51,10,723,8,4,50,4,50,324,1233,543,3,5,0,12,4,391,6,https://fbref.com/en/players/60abea75/Cesar-de-la-Hoz
2023,Almería,La Liga,Lázaro,BRA,"FW,MF",20,2002,8,321,4,27,138,162,38,321,28,15,53.6,13,46.4,208,1424,665,23,21,3,18,11,236,59,https://fbref.com/en/players/86ff856b/Lazaro
