Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,Mins_Per_90,Gls_Standard,Sh_Standard,SoT_Standard,SoT_percent_Standard,Sh_per_90_Standard,SoT_per_90_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,xG_Expected,npxG_Expected,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Url
2023,Almería,La Liga,Sergio Akieme,ESP,DF,24,1997,25.5,1,23,7,30.4,0.9,0.27,0.04,0.14,20.2,0,0,0,1.5,1.5,0.07,-0.5,-0.5,https://fbref.com/en/players/06efa9dc/Sergio-Akieme
2023,Almería,La Liga,Srđan Babić,SRB,DF,26,1996,33.3,3,9,5,55.6,0.27,0.15,0.33,0.6,10.1,0,0,0,1.2,1.2,0.13,1.8,1.8,https://fbref.com/en/players/075fe5a3/Srdjan-Babic
2023,Almería,La Liga,Léo Baptistão,BRA,"FW,MF",29,1992,19.2,5,45,16,35.6,2.35,0.83,0.11,0.31,14.9,0,0,0,4.9,4.9,0.11,0.1,0.1,https://fbref.com/en/players/35f6db55/Leo-Baptistao
2023,Almería,La Liga,El Bilal Touré,MLI,FW,20,2001,14,7,29,14,48.3,2.06,1,0.24,0.5,11.5,0,0,0,6.3,6.3,0.22,0.7,0.7,https://fbref.com/en/players/47c609d5/El-Bilal-Toure
2023,Almería,La Liga,José Carlos Lazo,ESP,"MF,FW",26,1996,0.2,0,2,1,50,9,4.5,0,0,24.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,https://fbref.com/en/players/5b93209a/Jose-Carlos-Lazo
2023,Almería,La Liga,Álex Centelles,ESP,DF,24,1997,12.5,1,5,2,40,0.4,0.16,0.2,0.5,21.2,0,0,0,0.4,0.4,0.08,0.6,0.6,https://fbref.com/en/players/ae852b7d/Alex-Centelles
2023,Almería,La Liga,Chumi,ESP,DF,23,1999,16.5,1,3,1,33.3,0.18,0.06,0.33,1,10.2,0,0,0,0.4,0.4,0.13,0.6,0.6,https://fbref.com/en/players/2475cf9b/Chumi
2023,Almería,La Liga,Samu Costa,POR,MF,21,2000,22.1,1,20,7,35,0.9,0.32,0.05,0.14,20,2,0,0,1.7,1.7,0.08,-0.7,-0.7,https://fbref.com/en/players/76c2a023/Samu-Costa
2023,Almería,La Liga,Curro,ESP,MF,26,1996,0.5,0,1,1,100,2.09,2.09,0,0,15.9,0,0,0,0.1,0.1,0.09,-0.1,-0.1,https://fbref.com/en/players/f9a225f5/Curro
2023,Almería,La Liga,Íñigo Eguaras,ESP,MF,30,1992,10.7,1,8,3,37.5,0.74,0.28,0.13,0.33,21.2,0,0,0,1,1,0.13,0,0,https://fbref.com/en/players/3e93f8cf/Inigo-Eguaras
2023,Almería,La Liga,Rodrigo Ely,BRA,DF,28,1993,35.1,0,19,1,5.3,0.54,0.03,0,0,14.7,1,0,0,1,1,0.05,-1,-1,https://fbref.com/en/players/fd47b4f2/Rodrigo-Ely
2023,Almería,La Liga,Adri Embarba,ESP,"FW,MF",30,1992,16.4,4,47,19,40.4,2.87,1.16,0.06,0.16,23.9,13,1,1,3.8,3.1,0.06,0.2,-0.1,https://fbref.com/en/players/db8f0eba/Adri-Embarba
2023,Almería,La Liga,Fernando,ESP,GK,32,1990,36.5,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,https://fbref.com/en/players/dabb2827/Fernando
2023,Almería,La Liga,Luis Javier Suárez,COL,FW,24,1997,16.6,4,41,13,31.7,2.48,0.79,0.1,0.31,15.9,0,0,0,4.4,4.4,0.11,-0.4,-0.4,https://fbref.com/en/players/eeba07f8/Luis-Javier-Suarez
2023,Almería,La Liga,Kaiky,BRA,DF,18,2004,6.5,0,1,0,0,0.15,0,0,NA,11.7,0,0,0,0.1,0.1,0.08,-0.1,-0.1,https://fbref.com/en/players/55634fb8/Kaiky
2023,Almería,La Liga,César de la Hoz,ESP,MF,30,1992,18.6,1,7,1,14.3,0.38,0.05,0.14,1,20.7,0,0,0,0.4,0.4,0.06,0.6,0.6,https://fbref.com/en/players/60abea75/Cesar-de-la-Hoz
2023,Almería,La Liga,Lázaro,BRA,"FW,MF",20,2002,8,6,25,12,48,3.14,1.51,0.24,0.5,15,0,0,0,4,4,0.16,2,2,https://fbref.com/en/players/86ff856b/Lazaro
