Season_End_Year,Squad,Comp,Team_or_Opponent,Num_Players,Mins_Per_90,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Challenges,Att_Challenges,Tkl_percent_Challenges,Lost_Challenges,Blocks_Blocks,Sh_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Url
2023,Almería,La Liga,team,29,38,557,322,292,202,63,280,623,44.9,343,435,122,313,322,879,855,13,https://fbref.com/en/squads/78ecf4bb/2022-2023/Almeria-Stats
2023,Almería,La Liga,opponent,29,38,591,369,274,233,84,310,606,51.2,296,373,108,265,249,840,553,14,https://fbref.com/en/squads/78ecf4bb/2022-2023/Almeria-Stats
2023,Athletic Club,La Liga,team,26,38,608,369,267,254,87,322,642,50.2,320,415,95,320,310,918,598,14,https://fbref.com/en/squads/2b390eca/2022-2023/Athletic-Club-Stats
2023,Athletic Club,La Liga,opponent,26,38,656,416,374,212,70,305,652,46.8,347,449,147,302,384,1040,839,17,https://fbref.com/en/squads/2b390eca/2022-2023/Athletic-Club-Stats
2023,Atlético Madrid,La Liga,team,27,38,667,408,332,245,90,334,685,48.8,351,396,103,293,304,971,704,9,https://fbref.com/en/squads/db3b9613/2022-2023/Atletico-Madrid-Stats
2023,Atlético Madrid,La Liga,opponent,27,38,539,317,271,181,87,262,584,44.9,322,445,134,311,368,907,663,14,https://fbref.com/en/squads/db3b9613/2022-2023/Atletico-Madrid-Stats
2023,Barcelona,La Liga,team,29,38,522,324,211,216,95,227,498,45.6,271,353,82,271,253,775,439,17,https://fbref.com/en/squads/206d90db/2022-2023/Barcelona-Stats
2023,Barcelona,La Liga,opponent,29,38,647,385,332,250,65,321,717,44.8,396,423,139,284,369,1016,746,17,https://fbref.com/en/squads/206d90db/2022-2023/Barcelona-Stats
2023,Betis,La Liga,team,30,38,665,421,373,238,54,338,701,48.2,363,411,112,299,364,1029,857,7,https://fbref.com/en/squads/fc536746/2022-2023/Real-Betis-Stats
2023,Betis,La Liga,opponent,30,38,664,417,303,268,93,311,676,46,365,437,95,342,324,988,584,9,https://fbref.com/en/squads/fc536746/2022-2023/Real-Betis-Stats
