Season_End_Year,Squad,Comp,Team_or_Opponent,Num_Players,Mins_Per_90,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Sw_Pass,Crs_Pass,TI_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,Url
2023,Almería,La Liga,team,29,38,15855,13865,1907,552,49,132,605,750,147,58,59,1,12151,83,308,https://fbref.com/en/squads/78ecf4bb/2022-2023/Almeria-Stats
2023,Almería,La Liga,opponent,29,38,19392,17371,1863,501,70,189,851,781,227,80,99,1,15420,158,367,https://fbref.com/en/squads/78ecf4bb/2022-2023/Almeria-Stats
2023,Athletic Club,La Liga,team,26,38,18630,16594,1940,502,44,191,918,835,257,66,123,1,14440,96,386,https://fbref.com/en/squads/2b390eca/2022-2023/Athletic-Club-Stats
2023,Athletic Club,La Liga,opponent,26,38,17573,15545,1951,580,41,190,579,789,136,56,50,2,13537,77,358,https://fbref.com/en/squads/2b390eca/2022-2023/Athletic-Club-Stats
2023,Atlético Madrid,La Liga,team,27,38,20488,18630,1779,490,83,193,625,702,183,97,46,0,16814,79,345,https://fbref.com/en/squads/db3b9613/2022-2023/Atletico-Madrid-Stats
2023,Atlético Madrid,La Liga,opponent,27,38,20021,18229,1735,495,40,228,743,650,185,78,68,1,16384,57,352,https://fbref.com/en/squads/db3b9613/2022-2023/Atletico-Madrid-Stats
2023,Barcelona,La Liga,team,29,38,24733,22836,1799,565,133,205,744,710,244,82,83,2,21298,98,340,https://fbref.com/en/squads/206d90db/2022-2023/Barcelona-Stats
2023,Barcelona,La Liga,opponent,29,38,13758,11850,1788,511,41,155,483,672,111,48,46,1,10316,120,306,https://fbref.com/en/squads/206d90db/2022-2023/Barcelona-Stats
2023,Betis,La Liga,team,30,38,18249,16255,1920,634,62,137,514,740,152,46,76,1,14678,74,376,https://fbref.com/en/squads/fc536746/2022-2023/Real-Betis-Stats
2023,Betis,La Liga,opponent,30,38,17964,16070,1790,455,61,153,756,771,209,71,98,2,14220,104,370,https://fbref.com/en/squads/fc536746/2022-2023/Real-Betis-Stats
2023,Celta Vigo,La Liga,team,26,38,18499,16495,1923,557,44,161,705,802,184,65,88,1,14700,81,300,https://fbref.com/en/squads/f25da7fb/2022-2023/Celta-Vigo-Stats
2023,Celta Vigo,La Liga,opponent,26,38,18416,16454,1898,524,49,196,633,849,165,63,78,1,14618,64,353,https://fbref.com/en/squads/f25da7fb/2022-2023/Celta-Vigo-Stats
2023,Cádiz,La Liga,team,38,38,13952,12025,1852,548,29,150,633,748,145,65,47,3,9940,75,297,https://fbref.com/en/squads/ee7c297c/2022-2023/Cadiz-Stats
2023,Cádiz,La Liga,opponent,38,38,19569,17561,1939,570,39,233,852,778,200,63,82,1,15630,69,346,https://fbref.com/en/squads/ee7c297c/2022-2023/Cadiz-Stats
2023,Elche,La Liga,team,32,38,15758,13769,1908,494,24,164,750,789,204,72,83,8,12051,81,390,https://fbref.com/en/squads/6c8b07df/2022-2023/Elche-Stats
2023,Elche,La Liga,opponent,32,38,19238,17216,1922,563,62,140,753,785,223,77,84,3,15598,100,331,https://fbref.com/en/squads/6c8b07df/2022-2023/Elche-Stats
2023,Espanyol,La Liga,team,33,38,14698,12685,1951,574,34,115,713,744,179,75,60,3,10827,62,298,https://fbref.com/en/squads/a8661628/2022-2023/Espanyol-Stats
2023,Espanyol,La Liga,opponent,33,38,19603,17628,1893,487,47,192,730,810,198,61,94,2,15807,82,336,https://fbref.com/en/squads/a8661628/2022-2023/Espanyol-Stats
2023,Getafe,La Liga,team,25,38,14126,12118,1929,524,18,162,649,857,119,58,54,1,9690,79,333,https://fbref.com/en/squads/7848bd64/2022-2023/Getafe-Stats
2023,Getafe,La Liga,opponent,25,38,21494,19437,1962,645,48,192,771,819,179,61,75,0,17070,95,355,https://fbref.com/en/squads/7848bd64/2022-2023/Getafe-Stats
2023,Girona,La Liga,team,29,38,18604,16633,1884,576,32,135,713,742,145,66,53,1,15146,87,319,https://fbref.com/en/squads/9024a00a/2022-2023/Girona-Stats
2023,Girona,La Liga,opponent,29,38,17921,16112,1745,501,45,163,753,678,181,70,70,1,14391,64,321,https://fbref.com/en/squads/9024a00a/2022-2023/Girona-Stats
2023,Mallorca,La Liga,team,31,38,14261,12483,1701,497,29,150,635,649,139,49,68,0,10451,77,306,https://fbref.com/en/squads/2aa12281/2022-2023/Mallorca-Stats
