Season_End_Year,Squad,Comp,Team_or_Opponent,Num_Players,Poss,Mins_Per_90,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Att_Take,Succ_Take,Succ_percent_Take,Tkld_Take,Tkld_percent_Take,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving,Url
2023,Almería,La Liga,team,29,45.1,38,20070,2715,7746,8468,4071,631,20067,666,296,44.4,310,46.5,10790,56980,29134,569,432,131,580,281,12047,1080,https://fbref.com/en/squads/78ecf4bb/2022-2023/Almeria-Stats
2023,Almería,La Liga,opponent,29,54.9,38,23165,1977,6271,10606,6490,1018,23159,711,343,48.2,280,39.4,13817,75543,41267,860,626,236,483,277,15279,1691,https://fbref.com/en/squads/78ecf4bb/2022-2023/Almeria-Stats
2023,Athletic Club,La Liga,team,26,51.6,38,22736,1978,6159,10166,6645,931,22729,734,347,47.3,305,41.6,12897,70948,39281,864,587,217,554,351,14284,1801,https://fbref.com/en/squads/2b390eca/2022-2023/Athletic-Club-Stats
2023,Athletic Club,La Liga,opponent,26,48.4,38,21996,2875,8384,9236,4606,626,21993,718,320,44.6,322,44.8,12124,62047,30317,549,410,135,600,286,13412,1202,https://fbref.com/en/squads/2b390eca/2022-2023/Athletic-Club-Stats
2023,Atlético Madrid,La Liga,team,27,50.6,38,24416,2414,7789,11103,5714,934,24414,656,322,49.1,262,39.9,13702,67405,35788,730,473,200,486,277,16705,1557,https://fbref.com/en/squads/db3b9613/2022-2023/Atletico-Madrid-Stats
2023,Atlético Madrid,La Liga,opponent,27,49.4,38,24043,2425,7018,11697,5530,691,24038,764,351,45.9,334,43.7,14819,75451,38319,729,515,146,540,333,16237,1617,https://fbref.com/en/squads/db3b9613/2022-2023/Atletico-Madrid-Stats
2023,Barcelona,La Liga,team,29,64.3,38,28418,2020,6758,14000,7889,1153,28416,802,396,49.4,321,40,18805,101341,55627,963,784,279,546,326,21141,2168,https://fbref.com/en/squads/206d90db/2022-2023/Barcelona-Stats
2023,Barcelona,La Liga,opponent,29,35.7,38,17703,2713,6968,7319,3601,547,17700,567,271,47.8,227,40,9548,51240,23752,474,341,131,517,295,10223,952,https://fbref.com/en/squads/206d90db/2022-2023/Barcelona-Stats
2023,Betis,La Liga,team,30,50.6,38,22482,2329,7275,10222,5227,718,22473,773,365,47.2,311,40.2,12640,63649,31063,620,492,156,564,353,14567,1259,https://fbref.com/en/squads/fc536746/2022-2023/Real-Betis-Stats
2023,Betis,La Liga,opponent,30,49.4,38,21955,2101,6663,9684,5848,784,21951,774,363,46.9,338,43.7,12653,68202,36566,750,606,147,492,327,14098,1553,https://fbref.com/en/squads/fc536746/2022-2023/Real-Betis-Stats
2023,Celta Vigo,La Liga,team,26,50.2,38,22608,2214,7194,10099,5553,734,22605,700,323,46.1,295,42.1,13546,71269,36623,704,558,161,566,298,14591,1393,https://fbref.com/en/squads/f25da7fb/2022-2023/Celta-Vigo-Stats
2023,Celta Vigo,La Liga,opponent,26,49.8,38,22441,2271,6852,10804,4993,631,22433,747,381,51,295,39.5,13039,64525,31897,536,393,137,617,369,14469,1277,https://fbref.com/en/squads/f25da7fb/2022-2023/Celta-Vigo-Stats
2023,Cádiz,La Liga,team,38,41.9,38,18156,2374,6497,7769,4091,579,18151,569,246,43.2,249,43.8,9031,48205,24623,475,350,89,567,354,9839,960,https://fbref.com/en/squads/ee7c297c/2022-2023/Cadiz-Stats
2023,Cádiz,La Liga,opponent,38,58.1,38,23666,2154,6661,10803,6401,957,23656,746,351,47.1,320,42.9,13832,75623,41624,823,601,187,596,303,15488,1728,https://fbref.com/en/squads/ee7c297c/2022-2023/Cadiz-Stats
2023,Elche,La Liga,team,32,45.5,38,19948,2416,7058,8743,4363,619,19943,708,342,48.3,311,43.9,11274,60085,29395,561,408,107,577,345,11950,1185,https://fbref.com/en/squads/6c8b07df/2022-2023/Elche-Stats
2023,Elche,La Liga,opponent,32,54.5,38,23458,2067,6449,10874,6360,932,23448,695,323,46.5,280,40.3,13420,73031,39930,737,555,204,588,353,15458,1597,https://fbref.com/en/squads/6c8b07df/2022-2023/Elche-Stats
2023,Espanyol,La Liga,team,33,43.1,38,18805,2216,6173,8355,4471,688,18800,575,257,44.7,260,45.2,9604,51135,25085,528,385,111,526,245,10712,1135,https://fbref.com/en/squads/a8661628/2022-2023/Espanyol-Stats
2023,Espanyol,La Liga,opponent,33,56.9,38,23635,2324,7122,10596,6153,936,23629,680,299,44,301,44.3,13382,73050,39005,748,549,223,539,351,15672,1619,https://fbref.com/en/squads/a8661628/2022-2023/Espanyol-Stats
2023,Getafe,La Liga,team,25,39.9,38,17947,1980,5769,8366,3992,589,17939,456,217,47.6,189,41.4,8694,41812,20506,365,292,78,504,268,9604,989,https://fbref.com/en/squads/7848bd64/2022-2023/Getafe-Stats
2023,Getafe,La Liga,opponent,25,60.1,38,25413,2202,7690,12149,5823,670,25405,714,334,46.8,285,39.9,14675,76173,38257,689,544,138,556,256,16902,1504,https://fbref.com/en/squads/7848bd64/2022-2023/Getafe-Stats
2023,Girona,La Liga,team,29,51.3,38,22397,2619,7918,9753,4932,761,22388,728,341,46.8,311,42.7,13365,73974,38669,725,497,167,467,330,15020,1364,https://fbref.com/en/squads/9024a00a/2022-2023/Girona-Stats
2023,Girona,La Liga,opponent,29,48.7,38,21778,2166,6541,9479,5967,808,21770,623,288,46.2,244,39.2,12612,66228,34356,677,507,165,467,307,14270,1425,https://fbref.com/en/squads/9024a00a/2022-2023/Girona-Stats
2023,Mallorca,La Liga,team,31,41.1,38,18171,2351,6553,8032,3792,524,18166,556,293,52.7,198,35.6,9509,50982,24564,476,341,94,498,302,10356,935,https://fbref.com/en/squads/2aa12281/2022-2023/Mallorca-Stats
2023,Mallorca,La Liga,opponent,31,58.9,38,24505,1788,5800,12118,6813,758,24498,652,298,45.7,283,43.4,15033,80117,44803,795,569,132,561,300,16791,1695,https://fbref.com/en/squads/2aa12281/2022-2023/Mallorca-Stats
2023,Osasuna,La Liga,team,26,48,38,20888,2287,6397,9352,5331,709,20883,626,313,50,247,39.5,11200,58264,28888,545,416,128,590,316,12580,1338,https://fbref.com/en/squads/03c57e2b/2022-2023/Osasuna-Stats
2023,Osasuna,La Liga,opponent,26,52,38,22253,2493,7751,9410,5318,786,22249,673,322,47.8,266,39.5,12906,68441,35932,680,486,170,586,268,14007,1357,https://fbref.com/en/squads/03c57e2b/2022-2023/Osasuna-Stats
2023,Rayo Vallecano,La Liga,team,28,51.2,38,21773,2061,6266,9706,6029,699,21765,660,296,44.8,290,43.9,12216,65376,33507,703,547,131,554,374,13384,1377,https://fbref.com/en/squads/98e8af82/2022-2023/Rayo-Vallecano-Stats
2023,Rayo Vallecano,La Liga,opponent,28,48.8,38,21335,2445,7779,8961,4840,738,21330,765,383,50.1,281,36.7,11197,60030,30078,589,432,165,594,355,12797,1222,https://fbref.com/en/squads/98e8af82/2022-2023/Rayo-Vallecano-Stats
2023,Real Madrid,La Liga,team,26,60.9,38,28884,2415,7781,12859,8464,1151,28872,971,475,48.9,379,39,19025,100381,53186,1008,735,338,490,297,21956,2000,https://fbref.com/en/squads/53a2f082/2022-2023/Real-Madrid-Stats
2023,Real Madrid,La Liga,opponent,26,39.1,38,19962,2604,6935,8542,4676,640,19957,617,306,49.6,259,42,11793,62129,32006,631,505,140,470,283,12901,1178,https://fbref.com/en/squads/53a2f082/2022-2023/Real-Madrid-Stats
2023,Real Sociedad,La Liga,team,30,54.6,38,23231,2283,6890,10794,5762,798,23227,680,307,45.1,293,43.1,13362,70912,36738,692,499,187,607,368,15101,1463,https://fbref.com/en/squads/e31d1cd9/2022-2023/Real-Sociedad-Stats
2023,Real Sociedad,La Liga,opponent,30,45.4,38,20064,2400,7172,8271,4812,654,20062,681,328,48.2,285,41.9,10456,56751,26955,575,450,130,558,375,12005,1017,https://fbref.com/en/squads/e31d1cd9/2022-2023/Real-Sociedad-Stats
2023,Sevilla,La Liga,team,35,52.6,38,22999,2284,7140,10069,5984,741,22994,604,269,44.5,257,42.5,13542,67133,32550,558,520,122,515,312,15242,1497,https://fbref.com/en/squads/ad2be733/2022-2023/Sevilla-Stats
2023,Sevilla,La Liga,opponent,35,47.4,38,21295,2448,6960,9373,5171,750,21292,661,310,46.9,281,42.5,12175,64885,33004,643,488,160,532,306,13534,1265,https://fbref.com/en/squads/ad2be733/2022-2023/Sevilla-Stats
