Season_End_Year,Squad,Comp,Team_or_Opponent,Num_Players,Mins_Per_90,Gls_Standard,Sh_Standard,SoT_Standard,SoT_percent_Standard,Sh_per_90_Standard,SoT_per_90_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,xG_Expected,npxG_Expected,npxG_per_Sh_Expected,G_minus_xG_Expected,np:G_minus_xG_Expected,Url
2023,Almería,La Liga,team,29,38,49,439,155,35.3,11.55,4.08,0.11,0.3,18.1,21,2,3,45.5,43.2,0.1,3.5,3.8,https://fbref.com/en/squads/78ecf4bb/2022-2023/Almeria-Stats
2023,Almería,La Liga,opponent,29,38,64,537,198,36.9,14.13,5.21,0.11,0.3,17.4,14,4,6,62.5,57.8,0.11,1.5,2.2,https://fbref.com/en/squads/78ecf4bb/2022-2023/Almeria-Stats
2023,Athletic Club,La Liga,team,26,38,46,541,157,29,14.24,4.13,0.08,0.26,17.1,13,5,7,54.2,48.7,0.09,-8.2,-7.7,https://fbref.com/en/squads/2b390eca/2022-2023/Athletic-Club-Stats
2023,Athletic Club,La Liga,opponent,26,38,40,387,120,31,10.18,3.16,0.1,0.31,18,16,3,3,36.9,34.5,0.09,3.1,2.5,https://fbref.com/en/squads/2b390eca/2022-2023/Athletic-Club-Stats
2023,Atlético Madrid,La Liga,team,27,38,68,538,195,36.2,14.16,5.13,0.12,0.34,17,9,1,1,61.9,61.1,0.12,6.1,5.9,https://fbref.com/en/squads/db3b9613/2022-2023/Atletico-Madrid-Stats
2023,Atlético Madrid,La Liga,opponent,27,38,33,433,124,28.6,11.39,3.26,0.07,0.23,18.6,18,4,5,41.1,37.2,0.09,-8.1,-8.2,https://fbref.com/en/squads/db3b9613/2022-2023/Atletico-Madrid-Stats
2023,Barcelona,La Liga,team,29,38,69,570,187,32.8,15,4.92,0.12,0.37,15.8,20,0,2,75.5,74,0.13,-6.5,-5,https://fbref.com/en/squads/206d90db/2022-2023/Barcelona-Stats
2023,Barcelona,La Liga,opponent,29,38,17,328,99,30.2,8.63,2.61,0.04,0.14,17.4,6,3,3,33.2,30.8,0.1,-16.2,-16.8,https://fbref.com/en/squads/206d90db/2022-2023/Barcelona-Stats
2023,Betis,La Liga,team,30,38,43,411,138,33.6,10.82,3.63,0.09,0.25,18.1,21,8,9,51.3,44.3,0.11,-8.3,-9.3,https://fbref.com/en/squads/fc536746/2022-2023/Real-Betis-Stats
2023,Betis,La Liga,opponent,30,38,40,463,143,30.9,12.18,3.76,0.08,0.26,17.9,24,3,3,50,47.7,0.1,-10,-10.7,https://fbref.com/en/squads/fc536746/2022-2023/Real-Betis-Stats
2023,Celta Vigo,La Liga,team,26,38,41,470,160,34,12.37,4.21,0.08,0.24,19,19,2,3,42.6,40.3,0.09,-1.6,-1.3,https://fbref.com/en/squads/f25da7fb/2022-2023/Celta-Vigo-Stats
2023,Celta Vigo,La Liga,opponent,26,38,52,379,127,33.5,9.97,3.34,0.12,0.37,17.3,14,5,8,45.4,39.2,0.11,6.6,7.8,https://fbref.com/en/squads/f25da7fb/2022-2023/Celta-Vigo-Stats
2023,Cádiz,La Liga,team,38,38,29,390,108,27.7,10.26,2.84,0.06,0.23,18.2,12,4,5,41.5,37.7,0.1,-12.5,-12.7,https://fbref.com/en/squads/ee7c297c/2022-2023/Cadiz-Stats
2023,Cádiz,La Liga,opponent,38,38,53,541,192,35.5,14.24,5.05,0.08,0.23,17.5,24,9,10,61.6,53.8,0.1,-8.6,-9.8,https://fbref.com/en/squads/ee7c297c/2022-2023/Cadiz-Stats
2023,Elche,La Liga,team,32,38,30,400,124,31,10.53,3.26,0.07,0.21,16.9,10,4,5,37.5,33.6,0.09,-7.5,-7.6,https://fbref.com/en/squads/6c8b07df/2022-2023/Elche-Stats
2023,Elche,La Liga,opponent,32,38,65,551,198,35.9,14.5,5.21,0.11,0.29,17.3,22,7,10,70,62.1,0.12,-5,-4.1,https://fbref.com/en/squads/6c8b07df/2022-2023/Elche-Stats
2023,Espanyol,La Liga,team,33,38,51,417,151,36.2,10.97,3.97,0.11,0.3,17.3,13,5,5,48.3,44.4,0.11,2.7,1.6,https://fbref.com/en/squads/a8661628/2022-2023/Espanyol-Stats
2023,Espanyol,La Liga,opponent,33,38,67,539,177,32.8,14.18,4.66,0.12,0.35,17.2,15,5,6,59.8,55.3,0.1,7.2,6.7,https://fbref.com/en/squads/a8661628/2022-2023/Espanyol-Stats
2023,Getafe,La Liga,team,25,38,34,365,116,31.8,9.61,3.05,0.08,0.25,18,19,5,8,36.7,30.4,0.09,-2.7,-1.4,https://fbref.com/en/squads/7848bd64/2022-2023/Getafe-Stats
2023,Getafe,La Liga,opponent,25,38,43,480,158,32.9,12.63,4.16,0.08,0.25,19.7,22,4,8,46,39.8,0.09,-3,-0.8,https://fbref.com/en/squads/7848bd64/2022-2023/Getafe-Stats
2023,Girona,La Liga,team,29,38,55,446,160,35.9,11.74,4.21,0.11,0.29,17.2,6,8,9,50.6,43.8,0.1,4.4,3.2,https://fbref.com/en/squads/9024a00a/2022-2023/Girona-Stats
2023,Girona,La Liga,opponent,29,38,55,485,161,33.2,12.76,4.24,0.1,0.3,18,13,6,8,54.9,48.6,0.1,0.1,0.4,https://fbref.com/en/squads/9024a00a/2022-2023/Girona-Stats
2023,Mallorca,La Liga,team,31,38,36,324,107,33,8.53,2.82,0.1,0.3,17.4,8,4,5,35.2,31.1,0.1,0.8,0.9,https://fbref.com/en/squads/2aa12281/2022-2023/Mallorca-Stats
2023,Mallorca,La Liga,opponent,31,38,43,489,138,28.2,12.87,3.63,0.08,0.27,19.3,19,6,7,46.4,41,0.08,-3.4,-4,https://fbref.com/en/squads/2aa12281/2022-2023/Mallorca-Stats
