"Rank","Team","BigChancesMissed","Goals","Matches","Country"
1,"Barcelona",77,79,38,"ESP"
2,"Atletico Madrid",71,70,38,"ESP"
3,"Girona",70,85,38,"ESP"
4,"Real Madrid",68,87,38,"ESP"
5,"Sevilla",62,48,38,"ESP"
6,"Almeria",59,43,38,"ESP"
7,"Deportivo Alaves",59,36,38,"ESP"
8,"Real Betis",58,48,38,"ESP"
9,"Athletic Club",53,61,38,"ESP"
10,"Celta Vigo",50,46,38,"ESP"
11,"Villarreal",46,65,38,"ESP"
12,"Osasuna",45,45,38,"ESP"
13,"Getafe",44,42,38,"ESP"
14,"Rayo Vallecano",42,29,38,"ESP"
15,"Valencia",41,40,38,"ESP"
16,"Granada",41,38,38,"ESP"
17,"Cadiz",39,26,38,"ESP"
18,"Real Sociedad",38,51,38,"ESP"
19,"Mallorca",38,33,38,"ESP"
20,"Las Palmas",29,33,38,"ESP"
