"Rank","Team","BigChances","Goals","Matches","Country"
1,"Girona",131,85,38,"ESP"
2,"Barcelona",127,79,38,"ESP"
3,"Real Madrid",123,87,38,"ESP"
4,"Atletico Madrid",121,70,38,"ESP"
5,"Athletic Club",93,61,38,"ESP"
6,"Villarreal",92,65,38,"ESP"
7,"Almeria",89,43,38,"ESP"
8,"Sevilla",87,48,38,"ESP"
9,"Celta Vigo",85,46,38,"ESP"
10,"Deportivo Alaves",80,36,38,"ESP"
11,"Real Betis",77,48,38,"ESP"
12,"Osasuna",76,45,38,"ESP"
13,"Real Sociedad",73,51,38,"ESP"
14,"Getafe",72,42,38,"ESP"
15,"Valencia",69,40,38,"ESP"
16,"Granada",63,38,38,"ESP"
17,"Rayo Vallecano",61,29,38,"ESP"
18,"Mallorca",60,33,38,"ESP"
19,"Cadiz",58,26,38,"ESP"
20,"Las Palmas",49,33,38,"ESP"
