"Rank","Team","ClearancesperMatch","TotalClearances","Matches","Country"
1,"Almeria",21.2,806,38,"ESP"
2,"Valencia",21.1,802,38,"ESP"
3,"Celta Vigo",20.5,780,38,"ESP"
4,"Deportivo Alaves",20.2,768,38,"ESP"
5,"Cadiz",19.9,755,38,"ESP"
5,"Mallorca",19.9,755,38,"ESP"
5,"Rayo Vallecano",19.9,755,38,"ESP"
8,"Villarreal",19.8,751,38,"ESP"
9,"Real Betis",19.6,745,38,"ESP"
10,"Atletico Madrid",19.1,726,38,"ESP"
11,"Las Palmas",19.1,727,38,"ESP"
12,"Granada",18.9,720,38,"ESP"
13,"Sevilla",18.8,713,38,"ESP"
14,"Osasuna",18.5,704,38,"ESP"
15,"Getafe",17.9,682,38,"ESP"
16,"Real Sociedad",17.6,670,38,"ESP"
17,"Girona",15.8,600,38,"ESP"
18,"Athletic Club",15.7,596,38,"ESP"
19,"Barcelona",14.4,547,38,"ESP"
20,"Real Madrid",12.8,486,38,"ESP"
