"Rank","Team","ExpectedGoalsConceded","GoalsConceded","Matches","Country"
1,"Granada",64.8,79,38,"ESP"
2,"Almeria",62.1,75,38,"ESP"
3,"Villarreal",59.2,65,38,"ESP"
4,"Las Palmas",57.5,47,38,"ESP"
5,"Sevilla",56.7,54,38,"ESP"
6,"Girona",55.3,46,38,"ESP"
7,"Celta Vigo",55.1,57,38,"ESP"
8,"Getafe",54.4,54,38,"ESP"
9,"Cadiz",52.9,55,38,"ESP"
10,"Real Betis",50.8,45,38,"ESP"
11,"Osasuna",50.4,56,38,"ESP"
12,"Valencia",48.1,45,38,"ESP"
13,"Deportivo Alaves",45.2,46,38,"ESP"
14,"Rayo Vallecano",45,48,38,"ESP"
15,"Mallorca",43.6,44,38,"ESP"
16,"Barcelona",42,44,38,"ESP"
17,"Real Sociedad",42,39,38,"ESP"
18,"Athletic Club",41.9,37,38,"ESP"
19,"Atletico Madrid",39.8,43,38,"ESP"
20,"Real Madrid",35.8,26,38,"ESP"
