"Rank","Team","FoulsperMatch","YellowCards","Matches","Country"
1,"Getafe",17.1,126,38,"ESP"
2,"Real Sociedad",15.9,98,38,"ESP"
3,"Cadiz",15.2,106,38,"ESP"
4,"Mallorca",14.9,102,38,"ESP"
5,"Rayo Vallecano",14.8,101,38,"ESP"
6,"Osasuna",13.6,76,38,"ESP"
7,"Granada",13.5,96,38,"ESP"
8,"Athletic Club",13.4,75,38,"ESP"
9,"Villarreal",12.8,102,38,"ESP"
10,"Deportivo Alaves",12.7,84,38,"ESP"
11,"Valencia",12.7,60,38,"ESP"
12,"Sevilla",12.6,108,38,"ESP"
13,"Almeria",12.6,85,38,"ESP"
14,"Celta Vigo",12.2,62,38,"ESP"
15,"Atletico Madrid",11.5,82,38,"ESP"
16,"Real Betis",11.3,85,38,"ESP"
17,"Barcelona",10.8,85,38,"ESP"
18,"Las Palmas",10.8,80,38,"ESP"
19,"Girona",10.7,75,38,"ESP"
20,"Real Madrid",9.7,67,38,"ESP"
