"Rank","Team","PenaltiesWon","ConversionRate(%)","Matches","Country"
1,"Valencia",9,88.9,38,"ESP"
2,"Girona",8,87.5,38,"ESP"
3,"Granada",8,62.5,38,"ESP"
4,"Barcelona",7,85.7,38,"ESP"
4,"Getafe",7,85.7,38,"ESP"
6,"Villarreal",7,71.4,38,"ESP"
7,"Deportivo Alaves",7,42.9,38,"ESP"
8,"Rayo Vallecano",6,100,38,"ESP"
9,"Atletico Madrid",6,83.3,38,"ESP"
10,"Osasuna",5,80,38,"ESP"
11,"Athletic Club",5,60,38,"ESP"
11,"Celta Vigo",5,60,38,"ESP"
11,"Las Palmas",5,60,38,"ESP"
14,"Real Madrid",5,40,38,"ESP"
15,"Real Sociedad",4,100,38,"ESP"
16,"Cadiz",3,100,38,"ESP"
17,"Real Betis",3,66.7,38,"ESP"
18,"Mallorca",3,33.3,38,"ESP"
19,"Almeria",2,100,38,"ESP"
19,"Sevilla",2,100,38,"ESP"
