"Rank","Player","Team","GoalsConcededper90","TotalGoalsConceded","Minutes","Matches","Country"
1,"Luis Maximiano","Almería",1.9,63,2970,33,"POR"
2,"Filip Jörgensen","Villarreal",1.8,63,3240,36,"DEN"
3,"Sergio Herrera","Osasuna",1.5,47,2870,32,"ESP"
4,"Vicente Guaita","Celta de Vigo",1.5,39,2402,27,"ESP"
5,"David Soria","Getafe",1.4,52,3414,38,"ESP"
6,"Jeremias Ledesma","Cádiz",1.4,47,3049,34,"ARG"
7,"Stole Dimitrievski","Rayo Vallecano",1.3,47,3330,37,"MKD"
8,"Rui Silva","Real Betis",1.3,36,2475,28,"POR"
9,"Paulo Gazzaniga","Girona",1.2,46,3420,38,"ARG"
10,"Álvaro Vallés","Las Palmas",1.2,44,3264,37,"ESP"
11,"Predrag Rajkovic","Mallorca",1.2,43,3240,36,"SRB"
12,"Jan Oblak","Atlético de Madrid",1.1,43,3420,38,"SVN"
13,"Giorgi Mamardashvili","Valencia CF",1.1,41,3285,37,"GEO"
14,"Antonio Sivera","Alavés",1.1,38,3060,34,"ESP"
15,"Ørjan Håskjold Nyland","Sevilla",1.1,27,2160,24,"NOR"
16,"Alex Remiro","Real Sociedad",1,36,3276,37,"ESP"
17,"Marc-Andre ter Stegen","Barcelona",1,27,2520,28,"GER"
18,"Unai Simon","Athletic Club",0.9,33,3184,36,"ESP"
19,"Andriy Lunin","Real Madrid",0.8,17,1890,21,"UKR"
