"Rank","Player","Team","Goalsper90","TotalGoals","Minutes","Matches","Country"
1,"Cristhian Stuani","Girona",1.04,9,782,31,"URU"
2,"Bebé","Rayo Vallecano",0.93,2,193,19,"CPV"
3,"Artem Dovbyk","Girona",0.83,24,2605,36,"UKR"
4,"Alexander Sørloth","Villarreal",0.83,23,2491,34,"NOR"
5,"Jude Bellingham","Real Madrid",0.74,19,2323,28,"ENG"
6,"Vinicius Junior","Real Madrid",0.72,15,1872,26,"BRA"
7,"Álvaro Morata","Atlético de Madrid",0.71,15,1909,32,"ESP"
8,"Anastasios Douvikas","Celta de Vigo",0.71,7,886,32,"GRE"
9,"Robert Lewandowski","Barcelona",0.62,19,2758,35,"POL"
10,"Ante Budimir","Osasuna",0.62,17,2449,33,"CRO"
11,"Borja Mayoral","Getafe",0.62,15,2162,27,"ESP"
12,"José Luis Morales","Villarreal",0.61,7,1037,29,"ESP"
13,"Youssef En-Nesyri","Sevilla",0.56,16,2573,33,"MAR"
14,"Gorka Guruzeta","Athletic Club",0.56,14,2240,32,"ESP"
15,"Antoine Griezmann","Atlético de Madrid",0.54,16,2654,33,"FRA"
16,"Joselu","Real Madrid",0.54,10,1676,34,"ESP"
17,"Ángel Correa","Atlético de Madrid",0.53,9,1525,32,"ARG"
18,"Ferran Torres","Barcelona",0.52,7,1204,29,"ESP"
19,"Memphis Depay","Atlético de Madrid",0.51,5,888,23,"NED"
20,"Fermin Lopez","Barcelona",0.5,8,1444,31,"ESP"
21,"Cristian Portu","Girona",0.5,7,1271,36,"ESP"
22,"Marc Cardona","Las Palmas",0.5,4,724,26,"ESP"
23,"Willian José","Real Betis",0.46,10,1978,33,"BRA"
24,"Brahim Diaz","Real Madrid",0.46,8,1551,31,"MAR"
25,"Darwin Machis","Cádiz",0.46,4,782,21,"VEN"
26,"Abdon Prats","Mallorca",0.43,6,1258,34,"ESP"
27,"Jørgen Strand Larsen","Celta de Vigo",0.41,13,2887,37,"NOR"
28,"Joao Félix","Barcelona",0.41,7,1542,30,"POR"
29,"Myrto Uzuni","Granada CF",0.4,11,2459,34,"ALB"
30,"Gerard Moreno","Villarreal",0.4,10,2229,30,"ESP"
31,"Samuel Omorodion","Alavés",0.4,9,2003,35,"ESP"
32,"Alex Berenguer","Athletic Club",0.4,7,1581,35,"ESP"
33,"Raul Garcia","Osasuna",0.4,6,1347,35,"ESP"
34,"Dodi Lukebakio","Sevilla",0.4,5,1124,23,"BEL"
35,"Hugo Duro","Valencia CF",0.39,13,2994,37,"ESP"
36,"Sergio Arribas","Almería",0.39,9,2055,34,"ESP"
37,"Raphinha","Barcelona",0.39,6,1370,28,"BRA"
38,"Inaki Williams","Athletic Club",0.38,12,2855,34,"GHA"
39,"Rodrygo","Real Madrid",0.38,10,2388,34,"BRA"
40,"Mikel Oyarzabal","Real Sociedad",0.38,9,2157,33,"ESP"
41,"André Silva","Real Sociedad",0.37,3,730,19,"POR"
42,"Valery Fernández","Girona",0.37,2,486,27,"ESP"
43,"Ayoze Pérez","Real Betis",0.35,9,2307,31,"ESP"
