"Rank","Player","Team","RedCards","YellowCards","Minutes","Matches","Country"
1,"Ezequiel Ávila","Real Betis",3,5,1166,23,"ARG"
2,"Largie Ramazani","Almería",2,7,1560,29,"BEL"
3,"Santi Comesana","Villarreal",2,6,1656,27,"ESP"
4,"Nacho Fernandez","Real Madrid",2,4,1739,29,"ESP"
5,"Domingos Duarte","Getafe",2,3,905,15,"POR"
5,"Oihan Sancet","Athletic Club",2,3,1991,30,"ESP"
5,"Victor Chust","Cádiz",2,3,1870,22,"ESP"
8,"Alberto Moreno","Villarreal",2,1,1490,27,"ESP"
9,"Iván Villar","Celta de Vigo",2,0,1015,12,"ESP"
10,"Djené","Getafe",1,12,2490,33,"TOG"
11,"Álex Baena","Villarreal",1,11,2599,34,"ESP"
11,"Igor Zubeldia","Real Sociedad",1,11,2523,30,"ESP"
13,"Alejandro Catena","Osasuna",1,8,2536,30,"ESP"
13,"Jaime Mata","Getafe",1,8,1790,35,"ESP"
13,"Lucas Boye","Granada CF",1,8,2555,31,"ARG"
13,"Omar Alderete","Getafe",1,8,2194,31,"PAR"
13,"Ruben Sobrino","Cádiz",1,8,1648,32,"ESP"
13,"Saul Niguez","Atlético de Madrid",1,8,1363,34,"ESP"
19,"Aitor Paredes","Athletic Club",1,7,2706,34,"ESP"
19,"Damian Suarez","Getafe",1,7,1306,16,"URU"
19,"Sergio Ramos","Sevilla",1,7,2518,28,"ESP"
22,"Álvaro Garcia","Rayo Vallecano",1,6,2493,32,"ESP"
22,"Iago Aspas","Celta de Vigo",1,6,2715,35,"ESP"
22,"Jesus Navas","Sevilla",1,6,2010,29,"ESP"
22,"Kiko","Villarreal",1,6,1579,23,"ESP"
22,"Leo Baptistao","Almería",1,6,1843,32,"BRA"
22,"Saul Coco","Las Palmas",1,6,2293,30,"EQG"
28,"Abdul Mumin","Rayo Vallecano",1,5,1695,20,"GHA"
28,"Antonio Blanco","Alavés",1,5,2436,33,"ESP"
28,"Edgar González","Almería",1,5,2528,31,"ESP"
28,"Gabriel Paulista","Valencia CF",1,5,1806,23,"BRA"
28,"Juanmi Latasa","Getafe",1,5,1553,32,"ESP"
28,"Jude Bellingham","Real Madrid",1,5,2323,28,"ENG"
28,"Loic Badé","Sevilla",1,5,2283,28,"FRA"
28,"Oscar Valentin","Rayo Vallecano",1,5,2700,34,"ESP"
28,"Stefan Savic","Atlético de Madrid",1,5,1631,23,"MNE"
28,"Suso","Sevilla",1,5,1514,29,"ESP"
38,"Aleix Garcia","Girona",1,4,3201,37,"ESP"
38,"Alfonso Pedraza","Villarreal",1,4,1119,19,"ESP"
38,"Antonio Raillo","Mallorca",1,4,2198,26,"ESP"
38,"Mika Mármol","Las Palmas",1,4,3181,36,"ESP"
38,"Nahuel Molina","Atlético de Madrid",1,4,1855,30,"ARG"
38,"Nico Williams","Athletic Club",1,4,2280,31,"ESP"
38,"Oscar Trejo","Rayo Vallecano",1,4,1381,31,"ARG"
38,"Raphinha","Barcelona",1,4,1370,28,"BRA"
38,"Thierry Correia","Valencia CF",1,4,2157,31,"POR"
38,"Unai Garcia","Osasuna",1,4,559,9,"ESP"
48,"Antonio Puertas","Granada CF",1,3,720,27,"ESP"
48,"Daniel Carvajal","Real Madrid",1,3,2172,28,"ESP"
48,"Giorgi Mamardashvili","Valencia CF",1,3,3285,37,"GEO"
48,"Ilaix Moriba","Getafe",1,3,606,14,"GUI"
48,"Javier Guerra","Valencia CF",1,3,2502,36,"ESP"
48,"Pablo Maffeo","Mallorca",1,3,1456,22,"ARG"
48,"Pep Chavarria","Rayo Vallecano",1,3,1164,22,"ESP"
48,"Renato Tapia","Celta de Vigo",1,3,1337,21,"PER"
48,"Selim Amallah","Valencia CF",1,3,597,20,"MAR"
57,"Alex Remiro","Real Sociedad",1,2,3276,37,"ESP"
57,"Álvaro Morata","Atlético de Madrid",1,2,1909,32,"ESP"
57,"Álvaro Vallés","Las Palmas",1,2,3264,37,"ESP"
57,"Fabricio Angileri","Getafe",1,2,160,11,"ARG"
57,"Gonzalo Escalante","Cádiz",1,2,1702,25,"ARG"
57,"Jon Moncayola","Osasuna",1,2,1801,33,"ESP"
57,"Jonathan Viera","Almería",1,2,1541,21,"ESP"
57,"Luca de la Torre","Celta de Vigo",1,2,1956,31,"USA"
57,"Pepe Reina","Villarreal",1,2,180,2,"ESP"
57,"Siebe van der Heyden","Mallorca",1,2,284,6,"BEL"
57,"Vitor Roque","Barcelona",1,2,319,14,"BRA"
68,"Bruno Langa","Almería",1,1,819,11,"MOZ"
68,"Federico San Emeterio","Cádiz",1,1,155,4,"ESP"
68,"Kamil Piatkowski","Granada CF",1,1,506,9,"POL"
68,"Yeray Álvarez","Athletic Club",1,1,1155,19,"ESP"
72,"Aaron Escandell","Las Palmas",1,0,152,2,"ESP"
72,"Caglar Söyüncü","Atlético de Madrid",1,0,110,6,"TUR"
72,"Daley Sinkgraven","Las Palmas",1,0,375,10,"NED"
72,"Darwin Machis","Cádiz",1,0,782,21,"VEN"
72,"Facundo Pellistri","Granada CF",1,0,1220,15,"URU"
72,"Hector Bellerin","Real Betis",1,0,1714,23,"ESP"
72,"Robert Navarro","Cádiz",1,0,1905,28,"ESP"
72,"Willian José","Real Betis",1,0,1978,33,"BRA"
