"Rank","Team","SavesperMatch","TotalSaves","Matches","Country"
1,"Villarreal",3.9,150,38,"ESP"
2,"Almeria",3.4,129,38,"ESP"
3,"Granada",3.4,128,38,"ESP"
4,"Girona",3.3,125,38,"ESP"
5,"Getafe",3.2,123,38,"ESP"
5,"Sevilla",3.2,123,38,"ESP"
7,"Cadiz",3.2,122,38,"ESP"
8,"Valencia",3.1,119,38,"ESP"
9,"Real Betis",3.1,117,38,"ESP"
10,"Las Palmas",3,114,38,"ESP"
11,"Celta Vigo",2.9,111,38,"ESP"
12,"Mallorca",2.8,108,38,"ESP"
13,"Rayo Vallecano",2.8,107,38,"ESP"
14,"Athletic Club",2.7,104,38,"ESP"
15,"Deportivo Alaves",2.7,103,38,"ESP"
16,"Atletico Madrid",2.7,102,38,"ESP"
17,"Real Sociedad",2.6,100,38,"ESP"
18,"Barcelona",2.6,97,38,"ESP"
18,"Osasuna",2.6,97,38,"ESP"
20,"Real Madrid",2.5,94,38,"ESP"
