"Rank","Team","YellowCards","RedCards","Matches","Country"
1,"Getafe",126,9,38,"ESP"
2,"Sevilla",108,4,38,"ESP"
3,"Cadiz",106,7,38,"ESP"
4,"Villarreal",102,8,38,"ESP"
5,"Mallorca",102,3,38,"ESP"
6,"Rayo Vallecano",101,5,38,"ESP"
7,"Real Sociedad",98,2,38,"ESP"
8,"Granada",96,4,38,"ESP"
9,"Almeria",85,6,38,"ESP"
10,"Real Betis",85,3,38,"ESP"
11,"Barcelona",85,2,38,"ESP"
12,"Deportivo Alaves",84,1,38,"ESP"
13,"Atletico Madrid",82,5,38,"ESP"
14,"Las Palmas",80,5,38,"ESP"
15,"Osasuna",76,5,38,"ESP"
16,"Athletic Club",75,5,38,"ESP"
17,"Girona",75,1,38,"ESP"
18,"Real Madrid",67,4,38,"ESP"
19,"Celta Vigo",62,5,38,"ESP"
20,"Valencia",60,5,38,"ESP"
