"Rank","Team","TouchesinOppositionBox","Matches","Country"
1,"Real Madrid",1259,38,"ESP"
2,"Barcelona",1177,38,"ESP"
3,"Girona",1048,38,"ESP"
4,"Atletico Madrid",1012,38,"ESP"
5,"Athletic Club",953,38,"ESP"
6,"Real Betis",952,38,"ESP"
7,"Villarreal",910,38,"ESP"
8,"Celta Vigo",866,38,"ESP"
9,"Real Sociedad",816,38,"ESP"
10,"Deportivo Alaves",809,38,"ESP"
11,"Sevilla",786,38,"ESP"
12,"Osasuna",761,38,"ESP"
13,"Getafe",734,38,"ESP"
14,"Granada",728,38,"ESP"
15,"Rayo Vallecano",711,38,"ESP"
16,"Mallorca",707,38,"ESP"
17,"Almeria",653,38,"ESP"
18,"Las Palmas",652,38,"ESP"
19,"Valencia",632,38,"ESP"
20,"Cadiz",592,38,"ESP"
