Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G+A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG_Expected,npxG_Expected,xAG_Expected,npxG+xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Per,xAG_Per,xG+xAG_Per,npxG_Per,npxG+xAG_Per,Url
2023,Almería,La Liga,Sergio Akieme,ESP,DF,24,1997,29,27,2297,25.5,1,0,1,1,0,0,5,0,1.5,1.5,2,3.5,60,58,84,0.04,0,0.04,0.04,0.04,0.06,0.08,0.14,0.06,0.14,https://fbref.com/en/players/06efa9dc/Sergio-Akieme
2023,Almería,La Liga,Srđan Babić,SRB,DF,26,1996,34,33,2998,33.3,3,0,3,3,0,0,5,0,1.2,1.2,0.3,1.5,21,63,5,0.09,0,0.09,0.09,0.09,0.04,0.01,0.04,0.04,0.04,https://fbref.com/en/players/075fe5a3/Srdjan-Babic
2023,Almería,La Liga,Léo Baptistão,BRA,"FW,MF",29,1992,28,24,1726,19.2,5,1,6,5,0,0,7,0,4.9,4.9,1.2,6.2,38,51,83,0.26,0.05,0.31,0.26,0.31,0.26,0.06,0.32,0.26,0.32,https://fbref.com/en/players/35f6db55/Leo-Baptistao
2023,Almería,La Liga,El Bilal Touré,MLI,FW,20,2001,21,15,1264,14,7,2,9,7,0,0,0,0,6.3,6.3,1.3,7.6,18,14,51,0.5,0.14,0.64,0.5,0.64,0.45,0.09,0.54,0.45,0.54,https://fbref.com/en/players/47c609d5/El-Bilal-Toure
2023,Almería,La Liga,José Carlos Lazo,ESP,"MF,FW",26,1996,1,0,20,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,3,0,0,0,0,0,0.27,0,0.27,0.27,0.27,https://fbref.com/en/players/5b93209a/Jose-Carlos-Lazo
2023,Almería,La Liga,Álex Centelles,ESP,DF,24,1997,15,11,1123,12.5,1,2,3,1,0,0,0,1,0.4,0.4,1.3,1.7,17,35,48,0.08,0.16,0.24,0.08,0.24,0.03,0.11,0.14,0.03,0.14,https://fbref.com/en/players/ae852b7d/Alex-Centelles
2023,Almería,La Liga,Chumi,ESP,DF,23,1999,21,15,1489,16.5,1,0,1,1,0,0,5,0,0.4,0.4,0.1,0.5,13,32,10,0.06,0,0.06,0.06,0.06,0.02,0,0.03,0.02,0.03,https://fbref.com/en/players/2475cf9b/Chumi
2023,Almería,La Liga,Samu Costa,POR,MF,21,2000,32,22,1989,22.1,1,2,3,1,0,0,5,0,1.7,1.7,1,2.7,9,91,24,0.05,0.09,0.14,0.05,0.14,0.08,0.04,0.12,0.08,0.12,https://fbref.com/en/players/76c2a023/Samu-Costa
2023,Almería,La Liga,Curro,ESP,MF,26,1996,2,0,43,0.5,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,1,1,1,0,0,0,0,0,0.19,0.44,0.63,0.19,0.63,https://fbref.com/en/players/f9a225f5/Curro
2023,Almería,La Liga,Íñigo Eguaras,ESP,MF,30,1992,25,10,967,10.7,1,1,2,1,0,0,6,0,1,1,0.6,1.7,8,61,7,0.09,0.09,0.19,0.09,0.19,0.1,0.06,0.16,0.1,0.16,https://fbref.com/en/players/3e93f8cf/Inigo-Eguaras
2023,Almería,La Liga,Rodrigo Ely,BRA,DF,28,1993,36,36,3155,35.1,0,1,1,0,0,0,10,1,1,1,0.8,1.8,6,52,4,0,0.03,0.03,0,0.03,0.03,0.02,0.05,0.03,0.05,https://fbref.com/en/players/fd47b4f2/Rodrigo-Ely
2023,Almería,La Liga,Adri Embarba,ESP,"FW,MF",30,1992,29,18,1472,16.4,4,3,7,3,1,1,5,1,3.8,3.1,3.4,6.4,62,47,115,0.24,0.18,0.43,0.18,0.37,0.23,0.21,0.44,0.19,0.39,https://fbref.com/en/players/db8f0eba/Adri-Embarba
2023,Almería,La Liga,Fernando,ESP,GK,32,1990,37,37,3285,36.5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/dabb2827/Fernando
2023,Almería,La Liga,Luis Javier Suárez,COL,FW,24,1997,21,18,1490,16.6,4,4,8,4,0,0,4,1,4.4,4.4,2.1,6.5,29,26,87,0.24,0.24,0.48,0.24,0.48,0.26,0.13,0.39,0.26,0.39,https://fbref.com/en/players/eeba07f8/Luis-Javier-Suarez
2023,Almería,La Liga,Kaiky,BRA,DF,18,2004,13,7,581,6.5,0,0,0,0,0,0,5,0,0.1,0.1,0,0.1,7,11,2,0,0,0,0,0,0.01,0,0.01,0.01,0.01,https://fbref.com/en/players/55634fb8/Kaiky
2023,Almería,La Liga,César de la Hoz,ESP,MF,30,1992,25,18,1673,18.6,1,0,1,1,0,0,6,0,0.4,0.4,0.9,1.3,3,49,6,0.05,0,0.05,0.05,0.05,0.02,0.05,0.07,0.02,0.07,https://fbref.com/en/players/60abea75/Cesar-de-la-Hoz
2023,Almería,La Liga,Lázaro,BRA,"FW,MF",20,2002,19,7,716,8,6,0,6,6,0,0,1,0,4,4,0.8,4.8,23,26,59,0.75,0,0.75,0.75,0.75,0.5,0.1,0.6,0.5,0.6,https://fbref.com/en/players/86ff856b/Lazaro
2023,Almería,La Liga,Diego Mariño,ESP,GK,32,1990,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/d9235a45/Diego-Marino
